item_code,item_name
AA0,All items - old base
AA0R,Purchasing power of the consumer dollar - old base
SA0,All items
SA0E,Energy
SA0L1,All items less food
SA0L12,All items less food and shelter
SA0L12E,"All items less food, shelter, and energy"
SA0L12E4,"All items less food, shelter, energy, and used cars and trucks"
SA0L1E,All items less food and energy
SA0L2,All items less shelter
SA0L5,All items less medical care
SA0LE,All items less energy
SA0R,Purchasing power of the consumer dollar
SA311,Apparel less footwear
SAA,Apparel
SAA1,Men's and boys' apparel
SAA2,Women's and girls' apparel
SAC,Commodities
SACE,Energy commodities
SACL1,Commodities less food
SACL11,Commodities less food and beverages
SACL1E,Commodities less food and energy commodities
SACL1E4,"Commodities less food, energy, and used cars and trucks"
SAD,Durables
SAE,Education and communication
SAE1,Education
SAE2,Communication
SAE21,Information and information processing
SAEC,Education and communication commodities
SAES,Education and communication services
SAF,Food and beverages
SAF1,Food
SAF11,Food at home
SAF111,Cereals and bakery products
SAF112,"Meats, poultry, fish, and eggs"
SAF1121,"Meats, poultry, and fish"
SAF11211,Meats
SAF113,Fruits and vegetables
SAF1131,Fresh fruits and vegetables
SAF114,Nonalcoholic beverages and beverage materials
SAF115,Other food at home
SAF116,Alcoholic beverages
SAG,Other goods and services
SAG1,Personal care
SAGC,Other goods
SAGS,Other personal services
SAH,Housing
SAH1,Shelter
SAH2,Fuels and utilities
SAH21,Household energy
SAH3,Household furnishings and operations
SAH31,Household furnishings and supplies
SAM,Medical care
SAM1,Medical care commodities
SAM2,Medical care services
SAN,Nondurables
SAN1D,Domestically produced farm food
SANL1,Nondurables less food
SANL11,Nondurables less food and beverages
SANL113,"Nondurables less food, beverages, and apparel"
SANL13,Nondurables less food and apparel
SAR,Recreation
SARC,Recreation commodities
SARS,Recreation services
SAS,Services
SAS24,Utilities and public transportation
SAS2RS,Rent of shelter
SAS367,Other services
SAS4,Transportation services
SASL2RS,Services less rent of shelter
SASL5,Services less medical care services
SASLE,Services less energy services
SAT,Transportation
SAT1,Private transportation
SATCLTB,Transportation commodities less motor fuel
SEAA,Men's apparel
SEAA01,"Men's suits, sport coats, and outerwear"
SEAA02,"Men's underwear, nightwear, swimwear and accessories"
SEAA03,Men's shirts and sweaters
SEAA04,Men's pants and shorts
SEAB,Boys' apparel
SEAC,Women's apparel
SEAC01,Women's outerwear
SEAC02,Women's dresses
