series_id        ,area_code,item_code,base_period,begin_year,begin_period,end_year,end_period
CUSR0000SA0      ,0000,SA0,1982-84=100,1947,M01,2025,M02
CUSR0000SA0E     ,0000,SA0E,1982-84=100,1957,M01,2025,M02
CUSR0000SA0L1    ,0000,SA0L1,1982-84=100,1947,M01,2025,M02
CUSR0000SA0L12   ,0000,SA0L12,1982-84=100,1967,M01,2025,M02
CUSR0000SA0L12E  ,0000,SA0L12E,1982-84=100,1967,M01,2025,M02
CUSR0000SA0L12E4 ,0000,SA0L12E4,1982-84=100,1967,M01,2025,M02
CUSR0000SA0L1E   ,0000,SA0L1E,1982-84=100,1957,M01,2025,M02
CUSR0000SA0L2    ,0000,SA0L2,1982-84=100,1947,M01,2025,M02
CUSR0000SA0L5    ,0000,SA0L5,1982-84=100,1957,M01,2025,M02
CUSR0000SA0LE    ,0000,SA0LE,1982-84=100,1957,M01,2025,M02
CUSR0000SA311    ,0000,SA311,1982-84=100,1947,M01,2025,M02
CUSR0000SAA      ,0000,SAA,1982-84=100,1947,M01,2025,M02
CUSR0000SAA1     ,0000,SAA1,1982-84=100,1947,M01,2025,M02
CUSR0000SAA2     ,0000,SAA2,1982-84=100,1947,M01,2025,M02
CUSR0000SAC      ,0000,SAC,1982-84=100,1956,M01,2025,M02
CUSR0000SACE     ,0000,SACE,1982-84=100,1957,M01,2025,M02
CUSR0000SACL1    ,0000,SACL1,1982-84=100,1956,M01,2025,M02
CUSR0000SACL11   ,0000,SACL11,1982-84=100,1967,M01,2025,M02
CUSR0000SACL1E   ,0000,SACL1E,1982-84=100,1957,M01,2025,M02
CUSR0000SACL1E4  ,0000,SACL1E4,1982-84=100,1967,M01,2025,M02
CUSR0000SAD      ,0000,SAD,1982-84=100,1956,M01,2025,M02
CUSR0000SAE      ,0000,SAE,DECEMBER 1997=100,1993,M01,2025,M02
CUSR0000SAE1     ,0000,SAE1,DECEMBER 1997=100,1993,M01,2025,M02
CUSR0000SAE2     ,0000,SAE2,DECEMBER 1997=100,1998,M01,2025,M02
CUSR0000SAE21    ,0000,SAE21,DECEMBER 1997=100,2006,M01,2025,M02
CUSR0000SAEC     ,0000,SAEC,DECEMBER 2009=100,2010,M01,2025,M02
CUSR0000SAES     ,0000,SAES,DECEMBER 2009=100,2010,M01,2025,M02
CUSR0000SAF      ,0000,SAF,1982-84=100,1967,M01,2025,M02
CUSR0000SAF1     ,0000,SAF1,1982-84=100,1947,M01,2025,M02
CUSR0000SAF11    ,0000,SAF11,1982-84=100,1952,M01,2025,M02
