Region,Year,"Number_thousands","Median_income_Current_dollars","Median_income_2023_dollars","Mean_income_Current_dollars","Mean_income_2023_dollars"
United States,2023,"132,200","80,610","80,610","114,500","114,500"
United States,2022,"131,400","74,580","77,540","106,400","110,600"
United States,2021,"131,200","70,780","79,260","102,300","114,600"
United States,2020 (41),"129,200","68,010","79,560","97,470","114,000"
United States,2019,"128,500","68,700","81,210","98,090","115,900"
United States,2018,"128,600","63,180","75,790","90,020","108,000"
United States,2017 (40),"127,700","61,140","74,810","87,640","107,300"
United States,2017,"127,600","61,370","75,100","86,220","105,500"
United States,2016,"126,200","59,040","73,520","83,140","103,500"
United States,2015,"125,800","56,520","71,000","79,260","99,580"
United States,2014,"124,600","53,660","67,360","75,740","95,080"
United States,2013 (39),"123,900","53,590","68,220","75,200","95,740"
United States,2013 (38),"123,000","51,940","66,130","72,640","92,490"
United States,2012,"122,500","51,020","65,740","71,270","91,850"
United States,2011,"121,100","50,050","65,750","69,680","91,520"
United States,2010 (37),"119,900","49,280","66,730","67,390","91,270"
United States,2009 (36),"117,500","49,780","68,340","67,980","93,320"
United States,2008,"117,200","50,300","68,780","68,420","93,560"
United States,2007,"116,800","50,230","71,210","67,610","95,840"
United States,2006,"116,000","48,200","70,080","66,570","96,780"
United States,2005,"114,400","46,330","69,310","63,340","94,770"
United States,2004 (35),"113,300","44,330","68,250","60,470","93,080"
United States,2003,"112,000","43,320","68,350","59,070","93,200"
United States,2002,"111,300","42,410","68,310","57,850","93,190"
United States,2001,"109,300","42,230","68,870","58,210","94,930"
United States,2000 (30),"108,200","41,990","70,020","57,140","95,280"
United States,1999 (29),"106,400","40,700","70,210","54,740","94,430"
United States,1998,"103,900","38,890","68,470","51,860","91,310"
United States,1997,"102,500","37,010","66,050","49,690","88,690"
United States,1996,"101,000","35,490","64,710","47,120","85,910"
United States,1995 (25),"99,630","34,080","63,770","44,940","84,090"
United States,1994 (24),"98,990","32,260","61,800","43,130","82,620"
United States,1993 (23),"97,110","31,240","61,150","41,430","81,090"
United States,1992 (22),"96,430","30,640","61,450","38,840","77,910"
United States,1991,"95,670","30,130","61,960","37,920","78,000"
United States,1990,"94,310","29,940","63,830","37,400","79,730"
United States,1989,"93,350","28,910","64,610","36,520","81,630"
United States,1988,"92,830","27,230","63,530","34,020","79,370"
United States,1987 (21),"91,120","26,060","63,060","32,410","78,420"
United States,1986,"89,480","24,900","62,280","30,760","76,940"
United States,1985 (20),"88,460","23,620","60,050","29,070","73,900"
United States,1984 (19),"86,790","22,420","58,930","27,460","72,200"
United States,1983,"85,410","20,890","57,210","25,400","69,580"
United States,1982,"83,920","20,170","57,570","24,310","69,380"
United States,1981,"83,530","19,070","57,730","22,790","68,970"
United States,1980,"82,370","17,710","58,720","21,060","69,840"
United States,1979 (18),"80,780","16,460","60,610","19,550","71,990"
United States,1978,"77,330","15,060","60,720","17,730","71,470"
United States,1977,"76,030","13,570","58,450","16,100","69,330"
United States,1976 (17),"74,140","12,690","58,160","14,920","68,420"
United States,1975 (16),"72,870","11,800","57,180","13,780","66,780"
Northeast,2023,"22,590","86,250","86,250","125,100","125,100"
Northeast,2022,"22,630","80,360","83,550","115,300","119,900"
Northeast,2021,"22,640","77,470","86,750","115,000","128,800"
Northeast,2020 (41),"22,470","75,510","88,330","108,600","127,100"
Northeast,2019,"22,030","76,220","90,100","109,900","129,900"
Northeast,2018,"22,050","70,110","84,110","102,200","122,600"
Northeast,2017 (40),"22,510","65,590","80,270","98,160","120,100"
Northeast,2017,"22,510","66,450","81,320","95,670","117,100"
Northeast,2016,"22,330","64,390","80,180","91,610","114,100"
Northeast,2015,"22,350","62,180","78,120","87,010","109,300"
Northeast,2014,"22,180","59,210","74,330","83,720","105,100"
Northeast,2013 (39),"22,510","56,870","72,400","82,250","104,700"
Northeast,2013 (38),"22,050","56,780","72,290","80,080","102,000"
Northeast,2012,"22,130","54,630","70,390","77,420","99,760"
Northeast,2011,"21,770","53,860","70,750","76,660","100,700"
Northeast,2010 (37),"21,720","53,000","71,770","74,340","100,700"
Northeast,2009 (36),"21,480","53,070","72,860","76,670","105,300"
Northeast,2008,"21,310","54,350","74,310","75,010","102,600"
Northeast,2007,"21,350","52,270","74,100","72,740","103,100"
Northeast,2006,"21,260","52,060","75,680","73,980","107,600"
Northeast,2005,"21,050","50,880","76,120","70,890","106,100"
Northeast,2004 (35),"21,190","47,860","73,680","66,300","102,100"
Northeast,2003,"21,020","46,740","73,760","64,330","101,500"
Northeast,2002,"21,230","45,860","73,870","62,910","101,300"
Northeast,2001,"21,130","45,720","74,560","64,340","104,900"
Northeast,2000 (30),"21,020","43,750","72,960","61,060","101,800"
Northeast,1999 (29),"20,680","41,880","72,250","59,470","102,600"
Northeast,1998,"19,880","40,630","71,550","55,040","96,920"
Northeast,1997,"19,810","38,930","69,480","53,820","96,050"
Northeast,1996,"19,720","37,410","68,200","51,560","93,990"
Northeast,1995 (25),"19,700","36,110","67,570","48,040","89,890"
Northeast,1994 (24),"19,590","34,930","66,900","47,940","91,830"
Northeast,1993 (23),"19,470","33,750","66,060","45,320","88,710"
Northeast,1992 (22),"19,330","33,000","66,190","42,020","84,290"
Northeast,1991,"19,310","33,470","68,840","41,650","85,660"
Northeast,1990,"19,270","32,680","69,650","40,950","87,290"
Northeast,1989,"19,130","32,640","72,960","41,110","91,900"
Northeast,1988,"19,340","30,430","70,990","37,460","87,400"
Northeast,1987 (21),"19,160","28,160","68,150","34,690","83,940"
Northeast,1986,"18,870","26,490","66,270","32,980","82,500"
Northeast,1985 (20),"18,560","25,490","64,800","31,150","79,190"
Northeast,1984 (19),"18,350","23,550","61,910","28,650","75,310"
Northeast,1983,"18,200","21,820","59,760","26,280","71,980"
Northeast,1982,"17,930","20,710","59,100","24,730","70,590"
Northeast,1981,"18,000","19,830","60,000","23,190","70,190"
Northeast,1980,"17,780","18,190","60,320","21,450","71,120"
Northeast,1979 (18),"17,470","16,860","62,090","20,100","74,010"
Northeast,1978,"17,230","15,510","62,510","18,150","73,150"
Northeast,1977,"17,170","14,230","61,290","16,680","71,830"
Northeast,1976 (17),"16,860","13,070","59,940","15,170","69,530"
Northeast,1975 (16),"16,430","12,340","59,800","14,460","70,070"
Midwest,2023,"28,410","81,020","81,020","111,000","111,000"
Midwest,2022,"28,280","73,070","75,980","102,400","106,500"
Midwest,2021,"28,050","71,130","79,650","98,470","110,300"
Midwest,2020 (41),"27,810","67,380","78,830","95,840","112,100"
Midwest,2019,"27,760","68,350","80,800","94,010","111,100"
Midwest,2018,"27,690","64,070","76,860","87,040","104,400"
Midwest,2017 (40),"27,660","61,120","74,800","84,740","103,700"
Midwest,2017,"27,640","61,140","74,810","83,050","101,600"
